model,n_steps,category,correct,plan_valid,error_type,pred_seconds,gold_seconds,plan_len
gemini-3-flash,100,correct_invalid_plan,True,False,,4650.0,4650,100
gemini-3-flash,100,semantic:wrong_makespan,False,,semantic_error,85200.0,87600,100
gemini-3-flash,100,correct_invalid_plan,True,False,,1213200.0,1213200,100
gemini-3-flash,100,semantic:wrong_makespan,False,,semantic_error,896400.0,906600,100
gemini-3-flash,100,correct_invalid_plan,True,False,,35700.0,35700,100
gemini-3-flash,100,correct_valid_plan,True,True,,5572.0,5572,100
gemini-3-flash,100,syntax:solver_infra,False,,syntax_error,,23105,0
gemini-3-flash,100,correct_invalid_plan,True,False,,502761600.0,502761600,40
gemini-3-flash,100,semantic:wrong_makespan,False,,semantic_error,6000.0,6570,100
gemini-3-flash,100,correct_invalid_plan,True,False,,2475.0,2475,100
gemini-3-flash,100,correct_invalid_plan,True,False,,41220.0,41220,100
gemini-3-flash,100,syntax:pddl_structure,False,,syntax_error,,620100,0
gemini-3-flash,100,semantic:wrong_makespan,False,,semantic_error,39000.0,41400,100
gemini-3-flash,100,correct_invalid_plan,True,False,,194400.0,194400,100
gemini-3-flash,100,semantic:wrong_makespan,False,,semantic_error,4980.0,5220,100
gemini-3-flash,100,correct_invalid_plan,True,False,,103500.0,103500,100
gemini-3-flash,100,syntax:solver_resource,False,,syntax_error,,1243200,0
gemini-3-flash,100,correct_invalid_plan,True,False,,3855.0,3855,100
gemini-3-flash,100,syntax:solver_infra,False,,syntax_error,,14,0
gemini-3-flash,100,correct_invalid_plan,True,False,,7444800.0,7444800,98
gemini-3-flash,100,syntax:solver_infra,False,,syntax_error,,286800,0
gemini-3-flash,100,correct_invalid_plan,True,False,,5104800.0,5104800,99
gemini-3-flash,100,semantic:wrong_makespan,False,,semantic_error,695.0,715,100
gemini-3-flash,100,correct_invalid_plan,True,False,,25320.0,25320,100
gemini-3-flash,100,semantic:wrong_makespan,False,,semantic_error,265620.0,269100,100
gemini-3-flash,100,correct_valid_plan,True,True,,23520.0,23520,100
gemini-3-flash,100,correct_valid_plan,True,True,,15420.0,15420,100
gemini-3-flash,100,correct_invalid_plan,True,False,,1251900.0,1251900,100
gemini-3-flash,100,correct_invalid_plan,True,False,,3905.0,3905,100
gemini-3-flash,100,correct_invalid_plan,True,False,,424800.0,424800,101
gemini-3-flash,100,correct_invalid_plan,True,False,,8940.0,8940,100
gemini-3-flash,100,correct_invalid_plan,True,False,,5460.0,5460,99
gemini-3-flash,100,correct_invalid_plan,True,False,,103200.0,103200,100
gemini-3-flash,100,correct_invalid_plan,True,False,,5880.0,5880,100
gemini-3-flash,100,semantic:wrong_makespan,False,,semantic_error,389100.0,649200,100
gemini-3-flash,100,syntax:solver_infra,False,,syntax_error,,3034500,0
gemini-3-flash,100,syntax:solver_resource,False,,syntax_error,,94560,0
gemini-3-flash,100,correct_invalid_plan,True,False,,7560.0,7560,100
gemini-3-flash,100,correct_invalid_plan,True,False,,8225400.0,8225400,98
gemini-3-flash,100,syntax:solver_resource,False,,syntax_error,,3180,0
gemini-3-flash,100,correct_valid_plan,True,True,,25620.0,25620,100
gemini-3-flash,100,correct_valid_plan,True,True,,83100.0,83100,100
gemini-3-flash,100,semantic:wrong_makespan,False,,semantic_error,11880.0,12300,100
gemini-3-flash,100,correct_invalid_plan,True,False,,3085200.0,3085200,100
gemini-3-flash,10,correct_valid_plan,True,True,,45900.0,45900,10
gemini-3-flash,10,correct_invalid_plan,True,False,,12441600.0,12441600,8
gemini-3-flash,10,correct_valid_plan,True,True,,3900.0,3900,10
gemini-3-flash,10,correct_valid_plan,True,True,,27600.0,27600,10
gemini-3-flash,10,correct_valid_plan,True,True,,25500.0,25500,10
gemini-3-flash,10,correct_valid_plan,True,True,,345.0,345,10
gemini-3-flash,10,correct_valid_plan,True,True,,623700.0,623700,10
gemini-3-flash,10,correct_valid_plan,True,True,,15300.0,15300,10
gemini-3-flash,10,correct_valid_plan,True,True,,3300.0,3300,10
gemini-3-flash,10,correct_valid_plan,True,True,,9000.0,9000,10
gemini-3-flash,10,correct_invalid_plan,True,False,,15900420.0,15900420,9
gemini-3-flash,10,correct_valid_plan,True,True,,176400.0,176400,10
gemini-3-flash,10,correct_valid_plan,True,True,,765.0,765,10
gemini-3-flash,10,correct_valid_plan,True,True,,1054800.0,1054800,10
gemini-3-flash,10,correct_valid_plan,True,True,,46980.0,46980,10
gemini-3-flash,10,correct_valid_plan,True,True,,194400.0,194400,10
gemini-3-flash,10,correct_valid_plan,True,True,,9900.0,9900,10
gemini-3-flash,10,correct_invalid_plan,True,False,,2433900.0,2433900,9
gemini-3-flash,10,correct_valid_plan,True,True,,14100.0,14100,10
gemini-3-flash,10,correct_valid_plan,True,True,,47100.0,47100,10
gemini-3-flash,10,correct_valid_plan,True,True,,2991.0,2991,10
gemini-3-flash,10,correct_invalid_plan,True,False,,6393600.0,6393600,9
gemini-3-flash,10,correct_valid_plan,True,True,,6300.0,6300,10
gemini-3-flash,10,correct_valid_plan,True,True,,3330.0,3330,10
gemini-3-flash,10,correct_valid_plan,True,True,,199800.0,199800,10
gemini-3-flash,10,correct_valid_plan,True,True,,1890.0,1890,10
gemini-3-flash,10,correct_valid_plan,True,True,,187500.0,187500,10
gemini-3-flash,10,correct_valid_plan,True,True,,3360.0,3360,10
gemini-3-flash,10,correct_valid_plan,True,True,,5410.0,5410,10
gemini-3-flash,10,correct_valid_plan,True,True,,825.0,825,10
gemini-3-flash,10,correct_invalid_plan,True,False,,47870400.0,47870400,8
gemini-3-flash,10,correct_valid_plan,True,True,,14700.0,14700,10
gemini-3-flash,10,correct_valid_plan,True,True,,463200.0,463200,10
gemini-3-flash,10,correct_invalid_plan,True,False,,4245300.0,4245300,9
gemini-3-flash,10,correct_valid_plan,True,True,,1860.0,1860,10
gemini-3-flash,10,correct_valid_plan,True,True,,1220700.0,1220700,10
gemini-3-flash,10,correct_valid_plan,True,True,,2070.0,2070,10
gemini-3-flash,10,correct_valid_plan,True,True,,16.0,16,10
gemini-3-flash,10,correct_valid_plan,True,True,,1545.0,1545,10
gemini-3-flash,10,correct_valid_plan,True,True,,15600.0,15600,10
gemini-3-flash,10,correct_valid_plan,True,True,,355800.0,355800,10
gemini-3-flash,10,correct_valid_plan,True,True,,189600.0,189600,10
gemini-3-flash,10,correct_valid_plan,True,True,,628200.0,628200,10
gemini-3-flash,10,correct_valid_plan,True,True,,12330.0,12330,10
gemini-3-flash,10,correct_valid_plan,True,True,,2640.0,2640,10
gemini-3-flash,10,correct_valid_plan,True,True,,3060.0,3060,10
gemini-3-flash,10,correct_invalid_plan,True,False,,11629800.0,11629800,9
gemini-3-flash,10,correct_valid_plan,True,True,,475.0,475,10
